"date","continent","low_country","low_idx","high_country","high_idx"
"20200401","Africa","Burundi, Republic of","13.89","Congo, Republic of the","97.22"
"20200401","Asia","Tajikistan, Republic of","19.44","India, Republic of","100.00"
"20200401","Europe","Belarus, Republic of","12.04","Georgia","100.00"
"20200401","North America","Nicaragua, Republic of","15.74","Honduras, Republic of","100.00"
"20200401","Oceania","Kiribati, Republic of","40.74","New Zealand","96.30"
"20200401","South America","Guyana, Co-operative Republic of","57.41","Argentina, Argentine Republic","100.00"
"20210401","Africa","Tanzania, United Republic of","8.33","Mauritius, Republic of","96.30"
"20210401","Asia","Lao People's Democratic Republic","16.67","Timor-Leste, Democratic Republic of","85.19"
"20210401","Europe","Russian Federation","36.57","Greece, Hellenic Republic","87.96"
"20210401","North America","Nicaragua, Republic of","13.89","Honduras, Republic of","82.41"
"20210401","Oceania","Kiribati, Republic of","22.22","Papua New Guinea, Independent State of","62.04"
"20210401","South America","Bolivia, Republic of","25.00","Venezuela, Bolivarian Republic of","87.96"
"20220401","Africa","Gabon, Gabonese Republic","11.11","Seychelles, Republic of","56.48"
"20220401","Asia","Mongolia","0.00","Myanmar, Union of","78.70"
"20220401","Europe","Andorra, Principality of","8.33","Ukraine","60.16"
"20220401","North America","Dominican Republic","8.33","Dominica, Commonwealth of","59.41"
"20220401","Oceania","Fiji, Republic of the Fiji Islands","32.42","Vanuatu, Republic of","85.19"
"20220401","South America","Uruguay, Eastern Republic of","14.82","Suriname, Republic of","50.65"
